customer_id,age,income_band,credit_score,customer_since,home_country,risk_segment
CUST-54131,56,Medium,564,2020-02-10,USA,Medium
CUST-93104,38,Low,514,2020-02-28,India,High
CUST-28431,41,Low,451,2020-01-19,USA,High
CUST-90038,19,Medium,707,2022-06-30,India,Low
CUST-33483,38,Medium,607,2018-08-28,India,Medium
CUST-88953,61,Low,358,2024-07-18,India,High
CUST-42606,45,High,714,2021-11-22,India,Low
CUST-84065,64,Medium,657,2016-02-17,India,Medium
CUST-50774,20,High,834,2017-06-08,India,Low
CUST-43159,56,Low,388,2016-05-01,Singapore,High
CUST-88603,67,Low,352,2016-12-15,India,High
CUST-80592,45,Medium,748,2021-07-11,USA,Low
CUST-97054,25,Low,505,2019-01-23,India,High
CUST-64268,67,Medium,551,2020-09-09,India,Medium
CUST-85450,59,Medium,740,2023-12-29,UK,Low
CUST-12693,61,High,889,2020-11-14,UAE,Low
CUST-76842,48,High,899,2017-03-25,India,Low
CUST-15530,57,High,781,2020-06-27,India,Low
CUST-78840,41,Low,551,2017-11-23,USA,Medium
CUST-99474,62,Low,314,2017-03-31,India,High
CUST-10854,42,High,787,2017-06-06,India,Low
CUST-80467,25,Low,438,2024-01-18,India,High
CUST-75733,25,Medium,582,2018-12-15,USA,Medium
CUST-82082,59,Low,340,2019-07-11,UAE,High
CUST-93879,26,Medium,711,2020-12-07,India,Low
CUST-26371,40,Medium,586,2016-11-01,USA,Medium
CUST-82694,57,Low,334,2023-02-17,India,High
CUST-69040,54,High,830,2018-09-09,UK,Low
CUST-92018,43,Low,582,2017-07-23,India,Medium
CUST-71135,32,Low,478,2019-09-06,India,High
CUST-56214,56,Medium,645,2019-09-24,USA,Medium
CUST-27429,54,Low,536,2021-08-17,India,High
CUST-49790,46,Low,459,2023-06-01,India,High
CUST-83744,68,Low,365,2018-01-20,USA,High
CUST-10301,23,Medium,657,2024-04-17,India,Medium
CUST-60336,47,High,827,2017-03-06,UK,Low
CUST-61885,45,Low,489,2022-01-01,India,High
CUST-88069,44,Medium,665,2019-03-20,India,Medium
CUST-97545,20,Low,436,2022-12-08,India,High
CUST-23403,50,Low,471,2019-06-26,India,High
CUST-65609,49,Medium,729,2024-09-09,India,Low
CUST-29508,66,Low,567,2020-08-08,India,Medium
CUST-90738,19,Medium,650,2018-08-17,India,Medium
CUST-35945,34,Low,301,2022-02-09,India,High
CUST-76617,40,Low,524,2018-05-21,USA,High
CUST-26964,19,Medium,709,2018-08-14,India,Low
CUST-94664,21,Low,483,2017-10-31,India,High
CUST-72752,55,Low,397,2016-02-15,USA,High
CUST-78385,28,High,843,2021-01-24,UK,Low
CUST-61991,23,Medium,552,2016-04-23,India,Medium
CUST-82369,53,Low,446,2023-09-05,India,High
CUST-92986,24,Low,427,2020-06-16,India,High
CUST-37350,57,Low,450,2019-06-10,India,High
CUST-10412,59,Low,551,2018-11-05,India,Medium
CUST-93042,65,Medium,609,2016-04-18,India,Medium
CUST-71476,18,Low,439,2022-11-02,India,High
CUST-10728,49,Medium,558,2023-09-20,India,Medium
CUST-34466,36,Medium,680,2016-08-27,UAE,Medium
CUST-99112,50,Medium,624,2016-07-07,UAE,Medium
CUST-94076,53,High,783,2020-11-30,India,Low
CUST-16801,65,Low,398,2016-12-26,Singapore,High
CUST-31677,35,Low,493,2016-04-14,USA,High
CUST-23807,33,High,860,2022-03-09,India,Low
CUST-45909,31,Low,434,2018-03-03,USA,High
CUST-54482,50,Medium,736,2023-06-18,India,Low
CUST-23116,39,Low,337,2016-07-18,Singapore,High
CUST-92848,68,High,726,2024-01-11,India,Low
CUST-30559,38,Medium,577,2023-06-27,USA,Medium
CUST-62528,50,Low,446,2024-12-11,India,High
CUST-34504,66,Low,471,2022-03-31,UAE,High
CUST-41921,46,Low,305,2023-09-13,India,High
CUST-48088,58,High,792,2021-05-14,India,Low
CUST-66178,48,High,815,2019-04-15,India,Low
CUST-47892,38,Low,460,2019-11-02,India,High
CUST-30384,35,Medium,603,2020-07-18,USA,Medium
CUST-22763,57,Low,413,2022-07-29,USA,High
CUST-42201,39,Low,426,2023-09-30,India,High
CUST-46187,19,Low,403,2024-04-12,USA,High
CUST-52944,60,Medium,588,2016-07-17,India,Medium
CUST-91317,43,High,852,2021-03-12,USA,Low
CUST-71886,24,Medium,722,2023-08-03,India,Low
CUST-49811,25,Medium,693,2024-07-24,India,Medium
CUST-83477,68,Low,391,2016-02-06,India,High
CUST-90719,49,Medium,635,2024-12-02,India,Medium
CUST-43434,39,Medium,635,2019-09-15,India,Medium
