transaction_amount,hours_since_last_txn,fraud_probability,risk_score,risk_category,actual_fraud
2399.1,10.92,0.0,0.0,Low Risk,0
1800.5,3.86,0.0,0.0,Low Risk,0
1850.69,3.64,0.0,0.0,Low Risk,0
2166.17,3.41,0.0,0.0,Low Risk,0
5097.41,1.93,0.0,0.0,Low Risk,0
1180.44,1.73,0.0,0.0,Low Risk,0
2956.92,5.48,0.0,0.0,Low Risk,0
3087.72,2.8,0.0,0.0,Low Risk,0
1277.0,0.53,0.0,0.0,Low Risk,0
4104.73,19.67,0.0,0.0,Low Risk,0
679.76,13.31,0.0,0.0,Low Risk,0
2525.17,3.16,0.0,0.0,Low Risk,0
3007.92,3.3,0.0,0.0,Low Risk,0
5074.33,18.91,0.0,0.0,Low Risk,0
3102.75,6.18,0.0,0.0,Low Risk,0
50.0,8.98,0.0,0.0,Low Risk,0
3012.03,6.54,0.0,0.0,Low Risk,0
1654.12,13.95,0.0,0.0,Low Risk,0
1370.13,6.89,0.0,0.0,Low Risk,0
3975.14,2.9,0.0,0.0,Low Risk,0
2414.21,11.15,0.0,0.0,Low Risk,0
3592.72,6.63,0.0,0.0,Low Risk,0
17520.11,1.38,0.9999561403508772,100.0,High Risk,1
2136.82,3.61,0.0,0.0,Low Risk,0
688.95,0.87,0.0,0.0,Low Risk,0
3227.11,12.91,0.0,0.0,Low Risk,0
3052.45,3.63,0.0,0.0,Low Risk,0
497.92,20.67,0.0,0.0,Low Risk,0
1468.29,0.51,0.0,0.0,Low Risk,0
2488.33,9.68,0.0,0.0,Low Risk,0
3038.73,4.18,0.0,0.0,Low Risk,0
3832.4,9.67,0.0,0.0,Low Risk,0
5570.44,13.13,0.0,0.0,Low Risk,0
4765.75,3.99,0.0,0.0,Low Risk,0
1551.76,7.2,0.0,0.0,Low Risk,0
2565.84,21.66,0.0,0.0,Low Risk,0
4898.63,19.93,0.0,0.0,Low Risk,0
27902.76,0.33,1.0,100.0,High Risk,1
1028.95,5.44,0.0,0.0,Low Risk,0
3236.27,0.96,0.0,0.0,Low Risk,0
4406.95,11.6,0.0,0.0,Low Risk,0
1600.23,8.79,0.0,0.0,Low Risk,0
3105.78,17.38,0.0,0.0,Low Risk,0
3204.06,2.86,0.0,0.0,Low Risk,0
1063.03,7.32,0.0,0.0,Low Risk,0
32641.52,0.56,1.0,100.0,High Risk,1
1711.28,6.69,0.0,0.0,Low Risk,0
2963.8,0.04,0.0,0.0,Low Risk,0
2798.04,3.6,0.0,0.0,Low Risk,0
2862.16,2.18,0.0,0.0,Low Risk,0
3030.63,9.86,0.0,0.0,Low Risk,0
4545.34,12.33,0.0,0.0,Low Risk,0
2580.19,1.22,0.0025943396226415093,0.26,Low Risk,0
913.53,8.77,0.0,0.0,Low Risk,0
122.83,3.37,0.0,0.0,Low Risk,0
1270.93,6.16,0.0,0.0,Low Risk,0
1855.39,9.18,0.0,0.0,Low Risk,0
3098.75,0.11,0.008028678437032385,0.8,Low Risk,0
3711.96,6.27,0.0,0.0,Low Risk,0
1535.95,7.94,0.0,0.0,Low Risk,0
3390.46,3.62,0.0,0.0,Low Risk,0
2741.74,6.44,0.0,0.0,Low Risk,0
1605.39,12.11,0.0,0.0,Low Risk,0
1059.08,3.17,0.0,0.0,Low Risk,0
2045.08,27.12,0.0,0.0,Low Risk,0
2401.18,4.79,0.0,0.0,Low Risk,0
2723.48,9.98,0.0,0.0,Low Risk,0
3859.78,1.04,0.0030120481927710845,0.3,Low Risk,0
6391.4,3.05,0.0019419306184012065,0.19,Low Risk,0
2818.44,5.04,0.0,0.0,Low Risk,0
70.9,9.7,0.0,0.0,Low Risk,0
357.68,2.7,0.0,0.0,Low Risk,0
2323.44,0.17,0.0,0.0,Low Risk,0
1519.82,24.22,0.0,0.0,Low Risk,0
3309.47,16.94,0.0,0.0,Low Risk,0
2780.61,23.7,0.0,0.0,Low Risk,0
1258.71,8.86,0.0,0.0,Low Risk,0
1061.77,6.58,0.0,0.0,Low Risk,0
1914.48,3.49,0.0,0.0,Low Risk,0
2027.95,6.6,0.0,0.0,Low Risk,0
4484.34,24.83,0.0,0.0,Low Risk,0
3107.46,11.87,0.0,0.0,Low Risk,0
1827.61,12.89,0.0,0.0,Low Risk,0
1093.0,1.45,0.0,0.0,Low Risk,0
3890.5,17.78,0.0,0.0,Low Risk,0
20591.69,1.25,1.0,100.0,High Risk,1
4001.99,14.19,0.0,0.0,Low Risk,0
2913.5,19.09,0.0,0.0,Low Risk,0
2170.21,13.3,0.0,0.0,Low Risk,0
1998.38,6.03,0.0,0.0,Low Risk,0
756.67,0.34,0.0,0.0,Low Risk,0
4112.43,5.68,0.0,0.0,Low Risk,0
1837.91,7.66,0.0,0.0,Low Risk,0
2561.82,5.81,0.0,0.0,Low Risk,0
1790.41,11.4,0.0,0.0,Low Risk,0
2948.49,4.65,0.0,0.0,Low Risk,0
3315.76,9.63,0.0,0.0,Low Risk,0
2971.3,2.99,0.0,0.0,Low Risk,0
3953.42,15.65,0.0,0.0,Low Risk,0
